Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.600506       0.022115        -0.170302       
2       No      Show    2       C       -1.286349       0.603671        0.352083        
3       No      Show    3       C       -0.141686       -0.433194       0.426942        
4       No      Show    4       C       1.068229        -0.066530       -0.433153       
5       No      Show    5       H       1.845937        -0.821166       -0.362961       
6       No      Show    6       H       -2.475784       -0.388716       -1.168600       
7       No      Show    7       H       -2.957377       -0.777831       0.472418        
8       No      Show    8       H       -1.457653       1.038245        1.332905        
9       No      Show    9       H       -0.988928       1.429013        -0.290060       
10      No      Show    10      H       -3.376525       0.780233        -0.218097       
11      No      Show    11      H       0.789349        0.026509        -1.479339       
12      No      Show    12      H       1.497068        0.881775        -0.121424       
13      No      Show    13      H       0.181244        -0.555197       1.457012        
14      No      Show    14      H       -0.511069       -1.406882       0.114717        
