Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.421100       0.092588        -0.361705       
2       No      Show    2       C       -1.307990       0.582764        0.565905        
3       No      Show    3       C       -0.089448       -0.349209       0.618893        
4       No      Show    4       C       0.864381        -0.187395       -0.565916       
5       No      Show    5       H       1.710511        -0.862556       -0.480641       
6       No      Show    6       H       -2.079495       -0.004740       -1.387935       
7       No      Show    7       H       -2.789300       -0.878478       -0.042906       
8       No      Show    8       H       -1.718555       0.684119        1.567675        
9       No      Show    9       H       -0.989582       1.579076        0.266973        
10      No      Show    10      H       -3.260769       0.781068        -0.361287       
11      No      Show    11      H       0.374058        -0.396652       -1.512017       
12      No      Show    12      H       1.253096        0.825961        -0.612655       
13      No      Show    13      H       0.465583        -0.152742       1.533072        
14      No      Show    14      H       -0.425436       -1.381762       0.684679        
