#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        
100000          1065.2503       -1281.0339      -64.9800        3084.5479       0.0000          -673.2838       -302.1306       9426.8983       -3769.9848      8.8589          19.8118         19.1331         79183.2412      16.6179         
200000          1083.7582       -1139.0797      -56.6358        2923.6658       0.0000          -644.1920       -277.1456       8883.9723       -1505.7639      9.2751          18.5596         17.5457         80914.4928      17.3174         
300000          288.9194        -2075.8478      -101.9586       3649.6153       0.0000          -1182.8896      -507.8144       12020.5571      -3233.3388      11.9667         25.5497         23.8582         81907.1239      16.7141         
400000          1241.0657       -1297.4317      -58.3535        3354.0639       0.0000          -757.2130       -346.8360       8800.8963       -1906.7318      9.1018          18.6527         17.6348         80902.0317      17.4376         
500000          786.2622        -1576.9699      -72.8681        3277.9663       0.0000          -841.8660       -363.2083       10035.2528      -4393.0750      8.9725          21.2982         19.7939         82291.5345      17.0048         
600000          1068.1716       -1563.8791      -76.1873        3550.1177       0.0000          -841.8797       -375.8019       10449.7958      -2270.7124      10.5869         22.1010         20.5328         82345.0286      17.3370         
700000          1104.9384       -1610.4104      -79.8945        3681.4286       0.0000          -886.1852       -381.1468       10646.5875      -4076.7164      9.7242          22.5572         20.7479         83135.7468      17.3420         
800000          568.0015        -2092.4369      -93.3515        3925.4214       0.0000          -1171.6315      -512.6703       11450.8337      -4536.2635      10.4860         24.5092         22.4968         83329.6356      17.1980         
900000          723.1220        -1555.2783      -77.1538        3173.4353       0.0000          -817.8812       -345.7660       10206.0707      -3623.4743      9.6896          21.7061         20.2995         81702.0760      17.0965         
1000000         1414.0347       -1668.8848      -84.3053        4068.7276       0.0000          -901.5028       -370.9647       10622.0180      -3335.2592      10.2438         22.6131         20.9551         82396.3120      17.5676         
