Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.020839       -0.170828       0.374740
2       No      Show    2       C       -1.522481       -0.051696       0.370884
3       No      Show    3       C       -2.013594       1.234557        -0.302109
4       No      Show    4       O       0.490198        -0.181088       -0.855992
5       No      Show    5       O       0.663722        -0.252690       1.342264
6       No      Show    6       H       -1.620531       2.112424        0.200078
7       No      Show    7       H       -1.712234       1.272511        -1.341390
8       No      Show    8       H       -1.920940       -0.914507       -0.154243
9       No      Show    9       H       -1.848498       -0.101703       1.400680
10      No      Show    10      H       -3.095764       1.283405        -0.259092
11      No      Show    11      H       1.437140        -0.256208       -0.780589
