Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.024484       -0.235307       0.373230
2       No      Show    2       C       -1.515770       -0.010355       0.416074
3       No      Show    3       C       -2.018274       1.204963        -0.362034
4       No      Show    4       O       0.535854        0.152648        -0.769874
5       No      Show    5       O       0.606169        -0.744320       1.242466
6       No      Show    6       H       -1.569632       2.121791        0.005252
7       No      Show    7       H       -1.790856       1.119920        -1.416672
8       No      Show    8       H       -1.968179       -0.916472       0.019606
9       No      Show    9       H       -1.790388       0.042389        1.461540
10      No      Show    10      H       -3.093461       1.292450        -0.250841
11      No      Show    11      H       1.465200        -0.053534       -0.723435
