Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.000683       -0.056086       0.272051
2       No      Show    2       C       -1.507772       -0.076818       0.237803
3       No      Show    3       C       -2.060052       1.290280        -0.182922
4       No      Show    4       O       0.553519        -0.757745       -0.712787
5       No      Show    5       O       0.649626        0.535150        1.072588
6       No      Show    6       H       -1.718751       2.064139        0.493750
7       No      Show    7       H       -1.742079       1.548516        -1.187682
8       No      Show    8       H       -1.847407       -0.852561       -0.435570
9       No      Show    9       H       -1.846526       -0.315864       1.239162
10      No      Show    10      H       -3.143904       1.274853        -0.168414
11      No      Show    11      H       1.500206        -0.679687       -0.632832
