Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.022232       -0.212071       0.378850
2       No      Show    2       C       -1.517944       -0.023284       0.402519
3       No      Show    3       C       -2.016170       1.216109        -0.342442
4       No      Show    4       O       0.515222        0.043004        -0.812558
5       No      Show    5       O       0.632630        -0.583209       1.298267
6       No      Show    6       H       -1.588533       2.122890        0.072442
7       No      Show    7       H       -1.760551       1.173089        -1.393156
8       No      Show    8       H       -1.948668       -0.916890       -0.042837
9       No      Show    9       H       -1.814387       -0.008884       1.442712
10      No      Show    10      H       -3.094682       1.287682        -0.256023
11      No      Show    11      H       1.451493        -0.124260       -0.752485
