Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       0.038652        0.043054        0.024522
2       No      Show    2       C       -1.466283       -0.033151       0.037019
3       No      Show    3       C       -2.132226       1.335699        -0.024470
4       No      Show    4       O       0.594032        -1.159351       -0.114947
5       No      Show    5       O       0.688049        1.030912        0.140654
6       No      Show    6       H       -1.827826       1.954201        0.810485
7       No      Show    7       H       -1.865897       1.857719        -0.936010
8       No      Show    8       H       -1.774130       -0.663991       -0.790382
9       No      Show    9       H       -1.747680       -0.567582       0.940584
10      No      Show    10      H       -3.211055       1.227507        0.003023
11      No      Show    11      H       1.540556        -1.050965       -0.095380
