Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.020205       -0.151160       0.365307
2       No      Show    2       C       -1.523594       -0.064160       0.353129
3       No      Show    3       C       -2.014542       1.243410        -0.280517
4       No      Show    4       O       0.487094        -0.296236       -0.858470
5       No      Show    5       O       0.669091        -0.086167       1.330767
6       No      Show    6       H       -1.641261       2.103440        0.265287
7       No      Show    7       H       -1.690533       1.324356        -1.311008
8       No      Show    8       H       -1.910353       -0.910685       -0.204134
9       No      Show    9       H       -1.858238       -0.143452       1.378399
10      No      Show    10      H       -3.097809       1.279889        -0.261218
11      No      Show    11      H       1.436525        -0.325063       -0.782344
