Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.018920       -0.130236       0.352150
2       No      Show    2       C       -1.523538       -0.075044       0.330866
3       No      Show    3       C       -2.018672       1.252561        -0.258216
4       No      Show    4       O       0.494005        -0.409959       -0.845279
5       No      Show    5       O       0.665969        0.078042        1.300461
6       No      Show    6       H       -1.652913       2.092782        0.321836
7       No      Show    7       H       -1.687909       1.372533        -1.283342
8       No      Show    8       H       -1.897677       -0.904436       -0.257971
9       No      Show    9       H       -1.865834       -0.187340       1.350784
10      No      Show    10      H       -3.102212       1.282207        -0.246526
11      No      Show    11      H       1.443879        -0.396936       -0.769576
