#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        MOLFRACT_ISB    MOLFRACT_NEO    
100000          107847.5397     -150390.4565    -22664.3376     280902.3338     0.0000          0.0000          0.0000          0.0000          3116058.4625    486.3579        488.6639        134.8718        392754.6393     -1.0689         0.49401314      0.50598686      
200000          -686.9069       -345135.2358    -27337.4737     371785.8026     0.0000          0.0000          0.0000          0.0000          -412372.4641    18.7409         522.6864        150.7150        375721.0747     0.8609          0.50117183      0.49882817      
300000          -91274.0881     -502585.8608    -46578.4877     457890.2604     0.0000          0.0000          0.0000          0.0000          -555026.7502    18.2173         639.0780        206.7900        337973.0986     4.0564          0.48762214      0.51237786      
400000          -327520.6533    -870472.5885    -90090.0289     633041.9642     0.0000          0.0000          0.0000          0.0000          -832542.1600    13.7232         854.6650        306.4226        302591.2546     9.8986          0.48967069      0.51032931      
500000          -468622.2180    -995778.1080    -107146.1537    634302.0436     0.0000          0.0000          0.0000          0.0000          -896474.2917    8.0530          873.2056        356.7486        265905.0918     11.7007         0.48969260      0.51030740      
600000          -584403.5614    -1114105.5487   -122742.2091    652444.1963     0.0000          0.0000          0.0000          0.0000          -911371.5456    8.0691          881.8124        404.4496        236881.3546     12.9914         0.48617203      0.51382797      
700000          -731187.1159    -1239568.1421   -136436.3923    644817.4185     0.0000          0.0000          0.0000          0.0000          -955958.9344    -1.3015         879.4442        450.8856        211624.8544     14.0811         0.48645505      0.51354495      
800000          -692068.5277    -1200911.6127   -132267.9906    641111.0756     0.0000          0.0000          0.0000          0.0000          -964746.9870    -6.7091         864.7629        444.1274        211482.0060     13.7358         0.48122593      0.51877407      
900000          -707845.1683    -1201294.3231   -132763.5491    626212.7039     0.0000          0.0000          0.0000          0.0000          -875340.0981    10.0224         851.2375        453.0257        203999.2407     13.8859         0.48292378      0.51707622      
1000000         -749605.5603    -1232352.6325   -135785.3790    618532.4512     0.0000          0.0000          0.0000          0.0000          -893849.7430    4.3377          844.3051        467.3564        196055.0089     14.2126         0.48624856      0.51375144      
