#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        MOLFRACT_XE     MOLFRACT_C2P    
100000          18297053.8916   18413194.7679   -116140.8764    0.0000          0.0000          0.0000          0.0000          0.0000          621013703.4339  162232.1096     1664.8498       1186.2666       184113.4032     2818.8152       0.48300309      0.51699691      
200000          -2341819.2094   -2192051.6357   -149767.5737    0.0000          0.0000          0.0000          0.0000          0.0000          -1208024.5077   -5.9591         1880.3376       1385.1776       178240.5988     11.5901         0.48405635      0.51594365      
300000          -2442812.7828   -2287852.3326   -154960.4503    0.0000          0.0000          0.0000          0.0000          0.0000          -1174223.2433   5.6186          1897.6021       1426.9608       175297.3560     11.9936         0.48715709      0.51284291      
400000          -2488286.8972   -2331100.9088   -157185.9885    0.0000          0.0000          0.0000          0.0000          0.0000          -1200418.7706   -1.2456         1897.4384       1450.9213       172720.6176     12.2093         0.48868081      0.51131919      
500000          -2529657.5658   -2370366.4821   -159291.0837    0.0000          0.0000          0.0000          0.0000          0.0000          -1169874.9793   8.7005          1908.0293       1465.3334       172281.8726     12.4030         0.49008073      0.50991927      
600000          -2531650.3405   -2372148.7591   -159501.5814    0.0000          0.0000          0.0000          0.0000          0.0000          -1192058.0467   3.2920          1911.4121       1464.6126       172665.2520     12.3787         0.49005431      0.50994569      
700000          -2545450.2254   -2385066.6225   -160383.6029    0.0000          0.0000          0.0000          0.0000          0.0000          -1209295.2437   -1.3367         1911.0480       1477.8525       171563.5343     12.4133         0.49222473      0.50777527      
800000          -2572826.1061   -2411000.6865   -161825.4196    0.0000          0.0000          0.0000          0.0000          0.0000          -1162004.9419   12.0421         1914.8546       1495.5880       170567.4829     12.5038         0.49550781      0.50449219      
900000          -2556401.2662   -2395586.4459   -160814.8202    0.0000          0.0000          0.0000          0.0000          0.0000          -1237456.4230   -9.0423         1910.5769       1480.6127       171043.4678     12.4621         0.49152211      0.50847789      
1000000         -2556775.5991   -2396069.4045   -160706.1946    0.0000          0.0000          0.0000          0.0000          0.0000          -1223949.8696   -6.4039         1904.9795       1481.7896       170199.8177     12.4919         0.49055443      0.50944557      
