Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.079920       -0.303825       0.112952
2       No      Show    2       C       -1.446935       0.144984        0.557842
3       No      Show    3       C       -2.113172       1.002084        -0.527038
4       No      Show    4       O       0.870656        0.577563        0.417895
5       No      Show    5       O       0.153160        -1.306330       -0.481060
6       No      Show    6       H       -1.540438       1.902451        -0.719818
7       No      Show    7       H       -2.203713       0.446782        -1.453717
8       No      Show    8       H       -2.035368       -0.743821       0.744152
9       No      Show    9       H       -1.358383       0.708045        1.478650
10      No      Show    10      H       -3.107111       1.296208        -0.209867
11      No      Show    11      H       1.697359        0.249761        0.075266
