Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.082548       -0.324569       0.134589
2       No      Show    2       C       -1.459187       0.121441        0.550899
3       No      Show    3       C       -2.094690       1.020423        -0.518062
4       No      Show    4       O       0.833294        0.626189        0.314777
5       No      Show    5       O       0.187812        -1.382233       -0.334453
6       No      Show    6       H       -1.508862       1.919352        -0.671072
7       No      Show    7       H       -2.175413       0.497155        -1.464575
8       No      Show    8       H       -2.056010       -0.768179       0.700521
9       No      Show    9       H       -1.386363       0.657012        1.490292
10      No      Show    10      H       -3.091654       1.314448        -0.210355
11      No      Show    11      H       1.669757        0.292874        0.002700
