Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.016932       -0.119742       -0.003802
2       No      Show    2       C       -1.362304       0.310994        0.525304
3       No      Show    3       C       -2.248041       0.908973        -0.566070
4       No      Show    4       O       0.973112        0.124594        0.850277
5       No      Show    5       O       0.166825        -0.654465       -1.049371
6       No      Show    6       H       -1.812791       1.818301        -0.966685
7       No      Show    7       H       -2.376383       0.210078        -1.382388
8       No      Show    8       H       -1.826969       -0.578919       0.941942
9       No      Show    9       H       -1.216752       1.005640        1.342586
10      No      Show    10      H       -3.224514       1.153719        -0.163092
11      No      Show    11      H       1.780844        -0.205377       0.466420
