Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.061673       -0.242359       0.063456
2       No      Show    2       C       -1.415439       0.205025        0.553444
3       No      Show    3       C       -2.166173       0.966311        -0.545562
4       No      Show    4       O       0.942761        0.430744        0.617905
5       No      Show    5       O       0.116846        -1.091679       -0.749014
6       No      Show    6       H       -1.636645       1.870609        -0.826953
7       No      Show    7       H       -2.280791       0.348126        -1.427571
8       No      Show    8       H       -1.968119       -0.687350       0.823310
9       No      Show    9       H       -1.299815       0.819341        1.436511
10      No      Show    10      H       -3.151768       1.250861        -0.195109
11      No      Show    11      H       1.756936        0.104221        0.244807
