Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.071131       -0.361402       0.211740
2       No      Show    2       C       -1.490749       0.059864        0.495591
3       No      Show    3       C       -2.056123       1.093978        -0.479219
4       No      Show    4       O       0.716760        0.658577        -0.123288
5       No      Show    5       O       0.341694        -1.471837       0.303524
6       No      Show    6       H       -1.485495       2.013147        -0.452703
7       No      Show    7       H       -2.047627       0.720314        -1.497824
8       No      Show    8       H       -2.087288       -0.842372       0.509572
9       No      Show    9       H       -1.496233       0.465324        1.504536
10      No      Show    10      H       -3.083398       1.322101        -0.217599
11      No      Show    11      H       1.595759        0.316348        -0.259035
