Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.032563       -0.162215       0.014945
2       No      Show    2       C       -1.378942       0.277210        0.534877
3       No      Show    3       C       -2.223942       0.929256        -0.560748
4       No      Show    4       O       0.976880        0.232472        0.785385
5       No      Show    5       O       0.136326        -0.812636       -0.965777
6       No      Show    6       H       -1.759723       1.841221        -0.921382
7       No      Show    7       H       -2.346381       0.256895        -1.400168
8       No      Show    8       H       -1.874935       -0.615870       0.903554
9       No      Show    9       H       -1.240557       0.945304        1.374636
10      No      Show    10      H       -3.204945       1.183052        -0.175014
11      No      Show    11      H       1.784883        -0.100879       0.404855
