#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        
100000          160732.3943     -158463.3891    -21134.6079     340330.3912     0.0000          0.0000          0.0000          0.0000          1794694.6984    215.7109        494.4517        114.3405        518391.2231     1.9526          
200000          164930.3000     -267838.9852    -22773.4830     455542.7682     0.0000          0.0000          0.0000          0.0000          -336184.5323    19.5210         520.2941        117.1357        532354.9611     0.3339          
300000          164296.3655     -315964.2105    -25798.9272     506059.5032     0.0000          0.0000          0.0000          0.0000          -422936.6671    15.4622         561.5801        122.8275        548128.4390     1.0012          
400000          163228.7611     -402659.9677    -35652.6243     601541.3531     0.0000          0.0000          0.0000          0.0000          -508490.4975    16.7454         649.6938        146.1924        532696.4416     2.3821          
500000          95216.2848      -557490.8560    -52264.5689     704971.7097     0.0000          0.0000          0.0000          0.0000          -653459.0478    15.5447         760.4141        183.6120        497690.0025     5.6946          
600000          -56465.7060     -706511.5000    -64034.7320     714080.5261     0.0000          0.0000          0.0000          0.0000          -690611.0162    17.2851         793.0526        215.8350        440739.3016     8.4890          
700000          -176192.2518    -822634.9890    -77855.8343     724298.5715     0.0000          0.0000          0.0000          0.0000          -753655.1722    15.9253         821.6765        253.5855        388498.4142     10.0597         
800000          -208951.6212    -861624.4721    -84644.1589     737317.0098     0.0000          0.0000          0.0000          0.0000          -841401.1726    8.0142          838.9203        270.1011        372186.9251     11.0248         
900000          -287712.0534    -927622.4739    -92847.7167     732758.1372     0.0000          0.0000          0.0000          0.0000          -828517.1221    11.0213         843.1858        294.5146        343455.5458     11.6107         
1000000         -294235.6190    -963044.3265    -98206.5185     767015.2260     0.0000          0.0000          0.0000          0.0000          -806828.9906    14.2942         839.0911        313.1546        321050.8543     11.6076         
