#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        
100000          -54043.9914     -51891.3447     -2152.6467      0.0000          0.0000          0.0000          0.0000          0.0000          84606.9489      29.7589         952.5980        99.2743         636601.5868     1.9776          
200000          -49625.1644     -47951.3397     -1673.8247      0.0000          0.0000          0.0000          0.0000          0.0000          -82898.4111     15.0330         843.7275        87.8161         637335.9312     4.9814          
300000          -45866.8911     -44336.6565     -1530.2346      0.0000          0.0000          0.0000          0.0000          0.0000          -75643.6201     14.6479         806.0689        84.0640         636070.7564     5.0826          
400000          -44237.0085     -42761.0508     -1475.9577      0.0000          0.0000          0.0000          0.0000          0.0000          -70673.2006     14.6531         791.2187        82.6068         635366.8668     5.1098          
500000          -42677.4167     -41231.3988     -1446.0179      0.0000          0.0000          0.0000          0.0000          0.0000          -60588.5970     15.1919         782.4249        81.8398         634194.8175     5.0970          
600000          -41229.8593     -39816.7606     -1413.0987      0.0000          0.0000          0.0000          0.0000          0.0000          -64468.1920     14.6935         772.8110        80.9661         633157.8246     5.0467          
700000          -42121.6379     -40729.8392     -1391.7986      0.0000          0.0000          0.0000          0.0000          0.0000          -66598.0428     14.3939         766.8698        80.3691         632959.3560     5.0356          
800000          -39070.6369     -37727.8130     -1342.8239      0.0000          0.0000          0.0000          0.0000          0.0000          -66491.3743     14.0595         753.1871        78.9391         632924.0748     5.1216          
900000          -36534.1565     -35312.1707     -1221.9858      0.0000          0.0000          0.0000          0.0000          0.0000          -61261.2698     13.5800         717.3792        75.4028         631095.4437     5.1503          
1000000         -31464.9304     -30384.4839     -1080.4465      0.0000          0.0000          0.0000          0.0000          0.0000          -51111.4748     13.2626         673.4998        71.0368         628923.3015     5.2288          
