#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        MOLFRACT_AR     MOLFRACT_KR     
100000          -475123.6396    -449490.9997    -25632.6399     0.0000          0.0000          0.0000          0.0000          0.0000          -286546.6636    35.8917         775.4862        1488.5049       55029.3802      4.5057          0.46985909      0.53014091      
200000          -596182.9443    -564386.2149    -31796.7295     0.0000          0.0000          0.0000          0.0000          0.0000          -363167.5121    9.8436          872.8725        1676.6533       55154.9306      5.8789          0.45612730      0.54387270      
300000          -606206.8128    -573948.3679    -32258.4449     0.0000          0.0000          0.0000          0.0000          0.0000          -350973.2026    22.5007         879.8328        1687.5097       55251.8439      5.9851          0.45578362      0.54421638      
400000          -622717.8895    -589669.7767    -33048.1128     0.0000          0.0000          0.0000          0.0000          0.0000          -354648.7588    25.4487         897.0017        1696.0506       55831.6324      6.1515          0.46128665      0.53871335      
500000          -632811.7106    -599287.4516    -33524.2591     0.0000          0.0000          0.0000          0.0000          0.0000          -363789.2977    21.0378         906.3627        1702.8807       55860.1732      6.2435          0.46971174      0.53028826      
600000          -620904.1365    -587920.1800    -32983.9566     0.0000          0.0000          0.0000          0.0000          0.0000          -376604.5579    10.2590         905.9233        1676.2259       56788.8423      6.1323          0.46811906      0.53188094      
700000          -631448.7774    -597988.1627    -33460.6147     0.0000          0.0000          0.0000          0.0000          0.0000          -375578.9246    15.9123         920.9437        1672.8449       57619.3477      6.2376          0.47370770      0.52629230      
800000          -637224.0861    -603479.0636    -33745.0225     0.0000          0.0000          0.0000          0.0000          0.0000          -344730.8999    41.0271         921.3630        1686.3055       57239.1801      6.2896          0.47247196      0.52752804      
900000          -629288.7030    -595882.6909    -33406.0121     0.0000          0.0000          0.0000          0.0000          0.0000          -379447.2601    12.2742         918.8739        1673.7998       57592.9225      6.2123          0.47027624      0.52972376      
1000000         -625046.6667    -591856.2586    -33190.4081     0.0000          0.0000          0.0000          0.0000          0.0000          -354812.2058    29.1603         909.9982        1679.1225       56975.9798      6.2065          0.46725663      0.53274337      
