Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       0.033007        0.028676        0.102989
2       No      Show    2       C       -1.473268       -0.040872       0.090013
3       No      Show    3       C       -2.122541       1.329795        -0.075325
4       No      Show    4       O       0.595012        -1.093329       -0.339920
5       No      Show    5       O       0.677242        0.947381        0.494364
6       No      Show    6       H       -1.800193       2.006483        0.705353
7       No      Show    7       H       -1.860148       1.772262        -1.030073
8       No      Show    8       H       -1.783938       -0.725672       -0.689558
9       No      Show    9       H       -1.767120       -0.492445       1.034559
10      No      Show    10      H       -3.202348       1.239876        -0.031204
11      No      Show    11      H       1.540482        -0.998035       -0.266094
