Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.015563       -0.107283       0.332963
2       No      Show    2       C       -1.521085       -0.081423       0.304314
3       No      Show    3       C       -2.027598       1.263414        -0.234493
4       No      Show    4       O       0.509399        -0.525593       -0.817194
5       No      Show    5       O       0.658983        0.238301        1.248252
6       No      Show    6       H       -1.668063       2.082639        0.377796
7       No      Show    7       H       -1.696755       1.424987        -1.254438
8       No      Show    8       H       -1.882807       -0.893340       -0.314327
9       No      Show    9       H       -1.867346       -0.230722       1.318588
10      No      Show    10      H       -3.111353       1.283249        -0.224455
11      No      Show    11      H       1.458364        -0.480055       -0.741829
