Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.028402       -0.261148       0.360641
2       No      Show    2       C       -1.513630       0.001665        0.428962
3       No      Show    3       C       -2.020598       1.192307        -0.381232
4       No      Show    4       O       0.559323        0.257259        -0.713988
5       No      Show    5       O       0.574133        -0.899742       1.161891
6       No      Show    6       H       -1.555649       2.117206        -0.058138
7       No      Show    7       H       -1.816812       1.067834        -1.436991
8       No      Show    8       H       -1.993008       -0.913777       0.090760
9       No      Show    9       H       -1.758206       0.100663        1.479350
10      No      Show    10      H       -3.092546       1.293625        -0.251071
11      No      Show    11      H       1.481575        0.018278        -0.684864
