Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       0.036853        0.038114        0.062429
2       No      Show    2       C       -1.468672       -0.035774       0.062011
3       No      Show    3       C       -2.129008       1.333551        -0.049586
4       No      Show    4       O       0.594363        -1.135216       -0.229119
5       No      Show    5       O       0.684681        1.000301        0.319444
6       No      Show    6       H       -1.816139       1.982035        0.758630
7       No      Show    7       H       -1.866378       1.817479        -0.983488
8       No      Show    8       H       -1.777515       -0.694798       -0.741379
9       No      Show    9       H       -1.754289       -0.531015       0.986937
10      No      Show    10      H       -3.208147       1.232046        -0.012726
11      No      Show    11      H       1.540446        -1.032633       -0.178053
