Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.034147       -0.287663       0.342050
2       No      Show    2       C       -1.511856       0.011005        0.439427
3       No      Show    3       C       -2.023895       1.177618        -0.400582
4       No      Show    4       O       0.586023        0.357905        -0.640771
5       No      Show    5       O       0.537359        -1.045544       1.057705
6       No      Show    6       H       -1.534885       2.106024        -0.128833
7       No      Show    7       H       -1.854329       1.009623        -1.456789
8       No      Show    8       H       -2.019057       -0.909498       0.164030
9       No      Show    9       H       -1.720631       0.160795        1.492616
10      No      Show    10      H       -3.090015       1.300881        -0.243585
11      No      Show    11      H       1.501612        0.093019        -0.629943
