Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.021191       -0.190816       0.379087
2       No      Show    2       C       -1.520326       -0.037420       0.387539
3       No      Show    3       C       -2.014474       1.225805        -0.322549
4       No      Show    4       O       0.499582        -0.068527       -0.841094
5       No      Show    5       O       0.652061        -0.418713       1.331137
6       No      Show    6       H       -1.605544       2.119441        0.137493
7       No      Show    7       H       -1.733867       1.223750        -1.367942
8       No      Show    8       H       -1.933391       -0.916243       -0.100319
9       No      Show    9       H       -1.833417       -0.056494       1.422467
10      No      Show    10      H       -3.095248       1.284637        -0.259301
11      No      Show    11      H       1.441996        -0.191245       -0.771256
