#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        
100000            1.38194812e+06 -8.08957263e+04 -2.96691056e+03  1.66963850e+06 -2.03827739e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.31776612e+04  1.83747488e+00  7.41015100e+02  7.22160730e+00  1.94639422e+07 -1.75723440e+03
200000            1.71939377e+06 -1.04636392e+05 -2.84571575e+03  2.04367152e+06 -2.16795647e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.19160857e+04  1.63726081e+00  7.26329670e+02  7.07774109e+00  1.94659689e+07  3.43469639e+01
300000            1.71297777e+06 -1.01682829e+05 -2.78085753e+03  2.03522670e+06 -2.17785243e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.00244058e+04  1.73871520e+00  7.18011550e+02  6.99672362e+00  1.94658623e+07  3.57758006e+01
400000            1.72270208e+06 -9.62953827e+04 -2.75497058e+03  2.03299080e+06 -2.11238368e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -8.77984460e+04  1.61721152e+00  7.14660510e+02  6.96407268e+00  1.94658521e+07  3.71248004e+01
500000            1.69441296e+06 -9.07936324e+04 -2.71794037e+03  1.99993126e+06 -2.12006725e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -7.26861571e+04  1.64067367e+00  7.09825100e+02  6.91728941e+00  1.94649069e+07  3.73630265e+01
600000            1.70348787e+06 -8.88270407e+04 -2.70363273e+03  2.00739907e+06 -2.12380520e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -7.36780093e+04  1.63356614e+00  7.07948850e+02  6.89912192e+00  1.94645781e+07  3.72501291e+01
700000            1.68841081e+06 -1.01376786e+05 -2.68979306e+03  2.00444723e+06 -2.11969835e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.79652190e+04  1.57150130e+00  7.06138150e+02  6.88140482e+00  1.94647800e+07  3.77773513e+01
800000            1.67834205e+06 -8.65704173e+04 -2.69187848e+03  1.97804794e+06 -2.10443596e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.86118274e+04  1.68893136e+00  7.06392890e+02  6.88425310e+00  1.94637457e+07  3.70801515e+01
900000            1.67793156e+06 -8.01555828e+04 -2.69263631e+03  1.97320184e+06 -2.12422063e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.56169363e+04  1.57804943e+00  7.06488270e+02  6.88526274e+00  1.94635192e+07  3.71474275e+01
1000000           1.68572487e+06 -8.47391825e+04 -2.67939650e+03  1.98663783e+06 -2.13494380e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.79621094e+04  1.70994809e+00  7.04742980e+02  6.86837268e+00  1.94631816e+07  3.68670890e+01
