Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.076164       -0.358696       0.191219
2       No      Show    2       C       -1.484342       0.072576        0.510672
3       No      Show    3       C       -2.063442       1.076144        -0.490148
4       No      Show    4       O       0.742339        0.672905        -0.010903
5       No      Show    5       O       0.303496        -1.483318       0.139383
6       No      Show    6       H       -1.483094       1.989582        -0.510576
7       No      Show    7       H       -2.082353       0.662839        -1.493278
8       No      Show    8       H       -2.085115       -0.825152       0.561880
9       No      Show    9       H       -1.464660       0.515681        1.502757
10      No      Show    10      H       -3.082037       1.324942        -0.214288
11      No      Show    11      H       1.611527        0.326491        -0.191438
