Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.047925       -0.203773       0.038005
2       No      Show    2       C       -1.397097       0.241060        0.545013
3       No      Show    3       C       -2.195968       0.948275        -0.553877
4       No      Show    4       O       0.966764        0.335765        0.707090
5       No      Show    5       O       0.118936        -0.959176       -0.864784
6       No      Show    6       H       -1.699061       1.857855        -0.875089
7       No      Show    7       H       -2.314472       0.302468        -1.414837
8       No      Show    8       H       -1.923395       -0.652541       0.863702
9       No      Show    9       H       -1.268867       0.882196        1.406878
10      No      Show    10      H       -3.179831       1.216756        -0.186063
11      No      Show    11      H       1.777028        0.004942        0.329160
