Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.001975       -0.078198       -0.017121
2       No      Show    2       C       -1.348117       0.340892        0.517795
3       No      Show    3       C       -2.267502       0.887561        -0.570095
4       No      Show    4       O       0.957880        0.014346        0.899955
5       No      Show    5       O       0.207279        -0.487285       -1.113065
6       No      Show    6       H       -1.855344       1.788222        -1.011803
7       No      Show    7       H       -2.404592       0.161342        -1.360719
8       No      Show    8       H       -1.783175       -0.542774       0.978547
9       No      Show    9       H       -1.198509       1.061583        1.312415
10      No      Show    10      H       -3.237976       1.131198        -0.151964
11      No      Show    11      H       1.768115        -0.303107       0.511126
