Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.049499       -0.334572       0.289552
2       No      Show    2       C       -1.506181       0.028364        0.458857
3       No      Show    3       C       -2.034475       1.145261        -0.436816
4       No      Show    4       O       0.640478        0.524309        -0.454466
5       No      Show    5       O       0.458148        -1.287589       0.786762
6       No      Show    6       H       -1.505871       2.074504        -0.264667
7       No      Show    7       H       -1.931584       0.893631        -1.486107
8       No      Show    8       H       -2.064440       -0.889926       0.316295
9       No      Show    9       H       -1.626698       0.289671        1.506527
10      No      Show    10      H       -3.086779       1.310754        -0.232558
11      No      Show    11      H       1.543082        0.219738        -0.488055
