Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.081988       -0.339874       0.154046
2       No      Show    2       C       -1.469175       0.102004        0.539205
3       No      Show    3       C       -2.081469       1.039012        -0.509312
4       No      Show    4       O       0.799546        0.658028        0.209904
5       No      Show    5       O       0.226826        -1.436920       -0.181498
6       No      Show    6       H       -1.489310       1.938956        -0.622863
7       No      Show    7       H       -2.150174       0.549166        -1.474829
8       No      Show    8       H       -2.069847       -0.789781       0.654817
9       No      Show    9       H       -1.412904       0.608520        1.496808
10      No      Show    10      H       -3.082460       1.326764        -0.208670
11      No      Show    11      H       1.647095        0.318048        -0.062344
