Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.041401       -0.313112       0.317477
2       No      Show    2       C       -1.509476       0.019722        0.449236
3       No      Show    3       C       -2.028479       1.161803        -0.419248
4       No      Show    4       O       0.613373        0.447854        -0.553656
5       No      Show    5       O       0.498185        -1.176592       0.931093
6       No      Show    6       H       -1.518829       2.091673        -0.197206
7       No      Show    7       H       -1.891752       0.951842        -1.473252
8       No      Show    8       H       -2.044144       -0.901469       0.240835
9       No      Show    9       H       -1.675590       0.224984        1.501931
10      No      Show    10      H       -3.088197       1.305979        -0.238333
11      No      Show    11      H       1.522492        0.161473        -0.563552
