Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -0.064968       -0.358951       0.234864
2       No      Show    2       C       -1.496566       0.048376        0.481807
3       No      Show    3       C       -2.048875       1.111407        -0.466814
4       No      Show    4       O       0.691855        0.629175        -0.236304
5       No      Show    5       O       0.379697        -1.436111       0.468081
6       No      Show    6       H       -1.491051       2.035724        -0.391440
7       No      Show    7       H       -2.009250       0.778583        -1.498517
8       No      Show    8       H       -2.085500       -0.859083       0.452306
9       No      Show    9       H       -1.533520       0.411575        1.506323
10      No      Show    10      H       -3.085246       1.317506        -0.222884
11      No      Show    11      H       1.579599        0.295885        -0.332114
