10 2
11 2
12 6
13 4
14 5
15 6
16 8
17 16
18 17
19 20
20 15
21 31
22 27
23 41
24 47
25 42
26 39
27 50
28 40
29 48
30 44
31 40
32 36
33 39
34 33
35 47
36 33
37 42
38 31
39 38
40 32
41 30
42 32
43 26
44 32
45 31
46 42
47 30
48 26
49 26
50 21
51 23
52 18
53 15
54 21
55 19
56 25
57 14
58 21
59 15
60 23
61 19
62 21
63 16
64 27
65 25
66 21
67 22
68 17
69 20
70 19
71 21
72 19
73 13
74 21
75 22
76 24
77 25
78 30
79 24
80 18
81 32
82 20
83 30
84 28
85 35
86 23
87 25
88 28
89 41
90 24
91 23
92 29
93 32
94 21
95 31
96 21
97 31
98 26
99 17
100 9
101 21
102 17
103 19
104 17
105 15
106 17
107 13
108 7
109 7
110 7
111 5
112 6
113 8
114 3
115 5
116 5
117 1
118 2
119 1
120 2
122 1
