Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.467098       0.064880        -0.318206       
2       No      Show    2       C       -1.300375       0.592323        0.518606        
3       No      Show    3       C       -0.103687       -0.372427       0.578335        
4       No      Show    4       C       0.915610        -0.148902       -0.540040       
5       No      Show    5       H       1.729841        -0.864710       -0.478730       
6       No      Show    6       H       -2.165184       -0.144695       -1.340781       
7       No      Show    7       H       -2.858969       -0.855617       0.104648        
8       No      Show    8       H       -1.662598       0.778182        1.526600        
9       No      Show    9       H       -0.973907       1.555398        0.133399        
10      No      Show    10      H       -3.279655       0.784141        -0.357301       
11      No      Show    11      H       0.462519        -0.250975       -1.522396       
12      No      Show    12      H       1.344122        0.847130        -0.476952       
13      No      Show    13      H       0.406371        -0.253523       1.530965        
14      No      Show    14      H       -0.461037       -1.399163       0.553989        
